Index Name,Date,Open,High,Low,Close
NIFTY 50,11-Mar-25,22345.95,22522.1,22314.7,22497.9
NIFTY 50,10-Mar-25,22521.85,22676.75,22429.05,22460.3
NIFTY 50,07-Mar-25,22508.65,22633.8,22464.75,22552.5
NIFTY 50,06-Mar-25,22476.35,22556.45,22245.85,22544.7
NIFTY 50,05-Mar-25,22073.05,22394.9,22067.8,22337.3
NIFTY 50,04-Mar-25,21974.45,22105.05,21964.6,22082.65
NIFTY 50,03-Mar-25,22194.55,22261.55,22004.7,22119.3
NIFTY 50,28-Feb-25,22433.4,22450.35,22104.85,22124.7
NIFTY 50,27-Feb-25,22568.95,22613.3,22508.4,22545.05
NIFTY 50,25-Feb-25,22516.45,22625.3,22513.9,22547.55
NIFTY 50,24-Feb-25,22609.35,22668.05,22518.8,22553.35
NIFTY 50,21-Feb-25,22857.2,22921,22720.3,22795.9
NIFTY 50,20-Feb-25,22821.1,22923.85,22812.75,22913.15
NIFTY 50,19-Feb-25,22847.25,23049.95,22814.85,22932.9
NIFTY 50,18-Feb-25,22963.65,22992.5,22801.5,22945.3
NIFTY 50,17-Feb-25,22809.9,22974.2,22725.45,22959.5
NIFTY 50,14-Feb-25,23096.45,23133.7,22774.85,22929.25
NIFTY 50,13-Feb-25,23055.75,23235.5,22992.2,23031.4
NIFTY 50,12-Feb-25,23050.8,23144.7,22798.35,23045.25
NIFTY 50,11-Feb-25,23383.55,23390.05,22986.65,23071.8
NIFTY 50,10-Feb-25,23543.8,23568.6,23316.3,23381.6
NIFTY 50,07-Feb-25,23649.5,23694.5,23443.2,23559.95
NIFTY 50,06-Feb-25,23761.95,23773.55,23556.25,23603.35
NIFTY 50,05-Feb-25,23801.75,23807.3,23680.45,23696.3
NIFTY 50,04-Feb-25,23509.9,23762.75,23423.15,23739.25
NIFTY 50,03-Feb-25,23319.35,23381.6,23222,23361.05
NIFTY 50,01-Feb-25,23528.6,23632.45,23318.3,23482.15
NIFTY 50,31-Jan-25,23296.75,23546.8,23277.4,23508.4
NIFTY 50,30-Jan-25,23169.5,23322.05,23139.2,23249.5
NIFTY 50,29-Jan-25,23026.75,23183.35,22976.5,23163.1
NIFTY 50,28-Jan-25,22960.45,23137.95,22857.65,22957.25
NIFTY 50,27-Jan-25,22940.15,23007.45,22786.9,22829.15
NIFTY 50,24-Jan-25,23183.9,23347.3,23050,23092.2
NIFTY 50,23-Jan-25,23128.3,23270.8,23090.65,23205.35
NIFTY 50,22-Jan-25,23099.15,23169.55,22981.3,23155.35
NIFTY 50,21-Jan-25,23421.65,23426.3,22976.85,23024.65
NIFTY 50,20-Jan-25,23290.4,23391.1,23170.65,23344.75
NIFTY 50,17-Jan-25,23277.1,23292.1,23100.35,23203.2
NIFTY 50,16-Jan-25,23377.25,23391.65,23272.05,23311.8
NIFTY 50,15-Jan-25,23250.45,23293.65,23146.45,23213.2
NIFTY 50,14-Jan-25,23165.9,23264.95,23134.15,23176.05
NIFTY 50,13-Jan-25,23195.4,23340.95,23047.25,23085.95
NIFTY 50,10-Jan-25,23551.9,23596.6,23344.35,23431.5
NIFTY 50,09-Jan-25,23674.75,23689.5,23503.05,23526.5
NIFTY 50,08-Jan-25,23746.65,23751.85,23496.15,23688.95
NIFTY 50,07-Jan-25,23679.9,23795.2,23637.8,23707.9
NIFTY 50,06-Jan-25,24045.8,24089.95,23551.9,23616.05
NIFTY 50,03-Jan-25,24196.4,24196.45,23976,24004.75
NIFTY 50,02-Jan-25,23783,24226.7,23751.55,24188.65
NIFTY 50,01-Jan-25,23637.65,23822.8,23562.8,23742.9
NIFTY 50,31-Dec-24,23560.6,23689.85,23460.45,23644.8
NIFTY 50,30-Dec-24,23796.9,23915.35,23599.3,23644.9
NIFTY 50,27-Dec-24,23801.4,23938.85,23800.6,23813.4
NIFTY 50,26-Dec-24,23775.8,23854.5,23653.6,23750.2
NIFTY 50,24-Dec-24,23769.1,23867.65,23685.15,23727.65
NIFTY 50,23-Dec-24,23738.2,23869.55,23647.2,23753.45
NIFTY 50,20-Dec-24,23960.7,24065.8,23537.35,23587.5
NIFTY 50,19-Dec-24,23877.15,24004.9,23870.3,23951.7
NIFTY 50,18-Dec-24,24297.95,24394.45,24149.85,24198.85
NIFTY 50,17-Dec-24,24584.8,24624.1,24303.45,24336
NIFTY 50,16-Dec-24,24753.4,24781.25,24601.75,24668.25
NIFTY 50,13-Dec-24,24498.35,24792.3,24180.8,24768.3
NIFTY 50,12-Dec-24,24604.45,24675.25,24527.95,24548.7
NIFTY 50,11-Dec-24,24620.5,24691.75,24583.85,24641.8
NIFTY 50,10-Dec-24,24652.65,24677.8,24510.65,24610.05
NIFTY 50,09-Dec-24,24633.9,24705,24580.05,24619
NIFTY 50,06-Dec-24,24729.45,24751.05,24620.5,24677.8
NIFTY 50,05-Dec-24,24539.15,24857.75,24295.55,24708.4
NIFTY 50,04-Dec-24,24488.75,24573.2,24366.3,24467.45
NIFTY 50,03-Dec-24,24367.5,24481.35,24280,24457.15
