Index Name,Date,Open,High,Low,Close
NIFTY SMALLCAP 100,11-Mar-25,15009.6,15134.55,14869.1,15075.9
NIFTY SMALLCAP 100,10-Mar-25,15525.45,15663.9,15131.85,15198.15
NIFTY SMALLCAP 100,07-Mar-25,15420.15,15614.15,15379.25,15504.3
NIFTY SMALLCAP 100,06-Mar-25,15342.45,15457.55,15277.05,15400.35
NIFTY SMALLCAP 100,05-Mar-25,14764.65,15211.75,14764.65,15199.1
NIFTY SMALLCAP 100,04-Mar-25,14469.6,14867.45,14389.95,14762.6
NIFTY SMALLCAP 100,03-Mar-25,14740.9,14825.3,14299.8,14660.85
NIFTY SMALLCAP 100,28-Feb-25,15006.9,15051.45,14617.65,14700.2
NIFTY SMALLCAP 100,27-Feb-25,15426.95,15460.75,15097.85,15156.6
NIFTY SMALLCAP 100,25-Feb-25,15462.95,15606.05,15377,15408.6
NIFTY SMALLCAP 100,24-Feb-25,15502.7,15601.75,15317.4,15477.3
NIFTY SMALLCAP 100,21-Feb-25,15730.4,15982.05,15566.05,15636.9
NIFTY SMALLCAP 100,20-Feb-25,15474.5,15768.05,15417.2,15747.7
NIFTY SMALLCAP 100,19-Feb-25,15058,15579.15,14976.3,15525.9
NIFTY SMALLCAP 100,18-Feb-25,15422,15452.8,15038.4,15168.45
NIFTY SMALLCAP 100,17-Feb-25,15291.95,15512.45,15044.4,15413.1
NIFTY SMALLCAP 100,14-Feb-25,16013.45,16033,15254.1,15407.2
NIFTY SMALLCAP 100,13-Feb-25,16024.2,16206,15944.7,15973.85
NIFTY SMALLCAP 100,12-Feb-25,16034.85,16122.45,15490.1,16033
NIFTY SMALLCAP 100,11-Feb-25,16617.05,16632.75,15968.1,16074.35
NIFTY SMALLCAP 100,10-Feb-25,16998.2,17051.15,16562.5,16648.7
NIFTY SMALLCAP 100,07-Feb-25,17014.35,17106.7,16838.2,17006.85
NIFTY SMALLCAP 100,06-Feb-25,17173.65,17190.6,16989.85,17056.75
NIFTY SMALLCAP 100,05-Feb-25,16863.2,17148.65,16862.2,17108.5
NIFTY SMALLCAP 100,04-Feb-25,16752.35,16837.85,16617.25,16798.5
NIFTY SMALLCAP 100,03-Feb-25,16801.95,16876.9,16544.75,16617.6
NIFTY SMALLCAP 100,01-Feb-25,16959.7,17128,16678.9,16979.75
NIFTY SMALLCAP 100,31-Jan-25,16617.85,16922.8,16573.75,16910.5
NIFTY SMALLCAP 100,30-Jan-25,16668,16780.75,16505.05,16560.5
NIFTY SMALLCAP 100,29-Jan-25,16017.55,16560.9,16013.1,16540.55
NIFTY SMALLCAP 100,28-Jan-25,16318.15,16348.2,15684.6,16008.5
NIFTY SMALLCAP 100,27-Jan-25,16768.6,16772.4,16178.9,16304.25
